ProjectDescriptionID,catchRawID,trapVisitID,commonName,releaseID,run,fishOrigin,lifeStage,forkLength,n,visitTime,visitType,siteName,subSiteName,markType,markColor,markPosition,markCode
7,2009,118,Chinook salmon,257,,Hatchery,Not recorded,,1,2023-01-20T09:00:57Z,Continue trapping,Hallwood,Hallwood 1 RR,Pigment / dye,Brown,Whole body,
7,2343,129,Chinook salmon,258,,Hatchery,Not recorded,,15,2023-01-26T09:00:08Z,Continue trapping,Hallwood,Hallwood 1 RR,Pigment / dye,Brown,Whole body,
7,2361,130,Chinook salmon,258,,Hatchery,Not recorded,,8,2023-01-26T09:05:47Z,Continue trapping,Hallwood,Hallwood 2 RL,Pigment / dye,Brown,Whole body,
7,2961,150,Chinook salmon,259,,Hatchery,Not recorded,,15,2023-02-02T09:15:36Z,Continue trapping,Hallwood,Hallwood 1 RR,Pigment / dye,Brown,Whole body,
7,3015,151,Chinook salmon,259,,Hatchery,Not recorded,,10,2023-02-02T09:20:16Z,Continue trapping,Hallwood,Hallwood 3,Pigment / dye,Brown,Whole body,
7,3085,152,Chinook salmon,259,,Hatchery,Not recorded,,15,2023-02-02T09:30:35Z,Continue trapping,Hallwood,Hallwood 2 RL,Pigment / dye,Brown,Whole body,
7,3128,153,Chinook salmon,259,,Hatchery,Not recorded,,3,2023-02-03T09:30:32Z,Continue trapping,Hallwood,Hallwood 1 RR,Pigment / dye,Brown,Whole body,
7,3187,154,Chinook salmon,259,,Hatchery,Not recorded,,18,2023-02-03T09:40:12Z,Continue trapping,Hallwood,Hallwood 2 RL,Pigment / dye,Brown,Whole body,
7,3938,170,Chinook salmon,260,,Natural,Not recorded,,11,2023-02-10T09:15:00Z,Continue trapping,Hallwood,Hallwood 1 RR,Elastomer,Yellow,Nose,
7,4119,174,Chinook salmon,260,,Natural,Not recorded,,2,2023-02-10T09:25:44Z,Continue trapping,Hallwood,Hallwood 2 RL,Elastomer,Yellow,Nose,
7,4383,181,Chinook salmon,260,,Natural,Not recorded,,10,2023-02-10T09:00:41Z,Continue trapping,Hallwood,Hallwood 3,Elastomer,Yellow,Nose,
7,4916,195,Chinook salmon,261,,Natural,Not recorded,,2,2023-02-17T10:45:23Z,Continue trapping,Hallwood,Hallwood 1 RR,Elastomer,Yellow,Nose,
7,5428,214,Chinook salmon,262,,Natural,Not recorded,,37,2023-02-24T11:28:02Z,Continue trapping,Hallwood,Hallwood 1 RR,Elastomer,Pink,Nose,
7,5429,214,Chinook salmon,263,,Natural,Not recorded,,1,2023-02-24T11:28:02Z,Continue trapping,Hallwood,Hallwood 1 RR,Elastomer,Yellow,Nose,
7,5456,215,Chinook salmon,262,,Hatchery,Not recorded,,3,2023-02-25T09:47:15Z,Continue trapping,Hallwood,Hallwood 1 RR,Elastomer,Pink,Nose,
7,5457,215,Chinook salmon,263,,Natural,Not recorded,,1,2023-02-25T09:47:15Z,Continue trapping,Hallwood,Hallwood 1 RR,Elastomer,Yellow,Nose,
7,5543,218,Chinook salmon,262,,Hatchery,Not recorded,,8,2023-02-24T10:50:59Z,Continue trapping,Hallwood,Hallwood 2 RL,Elastomer,Pink,Nose,
